region,company,industry,profession,experience,salary_min,salary_max,published_at
Vladimir Oblast,VladTech,Machinery,CNC operator,No experience,45000,65000,2026-01-12
Vladimir Oblast,Textile Group,Light industry,Seamstress,No experience,35000,50000,2026-01-15
Vladimir Oblast,MedService,Healthcare,Nurse,1-3 years,52000,72000,2026-01-17
Vladimir Oblast,Logistics Plus,Transport,Warehouse worker,No experience,42000,58000,2026-02-02
Vladimir Oblast,IT Region,Information technology,Junior analyst,No experience,60000,85000,2026-02-09
Vladimir Oblast,Food Plant,Food production,Process engineer,1-3 years,70000,95000,2026-02-18
Vladimir Oblast,MetalProm,Machinery,Welder,1-3 years,80000,110000,2026-03-04
Vladimir Oblast,City School,Education,Teacher,No experience,42000,60000,2026-03-08
Vladimir Oblast,Trade House,Retail,Sales assistant,No experience,38000,55000,2026-03-19
Vladimir Oblast,AgroLine,Agriculture,Agronomist,No experience,50000,68000,2026-04-01
Moscow,IT Region,Information technology,Python developer,1-3 years,140000,220000,2026-04-05
Moscow,BuildPro,Construction,Project engineer,1-3 years,120000,160000,2026-04-10
Nizhny Novgorod,AutoParts,Machinery,Design engineer,1-3 years,95000,130000,2026-04-15
Yaroslavl,MedService,Healthcare,Doctor,3-6 years,110000,160000,2026-04-21
Vladimir Oblast,WoodCraft,Furniture production,Assembler,No experience,40000,56000,2026-05-03
Vladimir Oblast,ChemLab,Chemical industry,Laboratory assistant,No experience,48000,65000,2026-05-11
Moscow,Finance Hub,Finance,Accountant,1-3 years,100000,150000,2026-05-14
Vladimir Oblast,EnergyNet,Energy,Electrician,1-3 years,75000,105000,2026-05-18
Ivanovo,Textile Group,Light industry,Technologist,1-3 years,70000,90000,2026-05-20
Vladimir Oblast,Hotel Comfort,Hospitality,Receptionist,No experience,36000,52000,2026-06-01
